anchor,positive,negative
embeddings_train_data\topwear\anchor\06a0ca42c853b643a5ac6fd0e61664fa.jpg,embeddings_train_data\topwear\positive\802e1ab859c65f1b0978b6e76bbf014e.jpg,embeddings_train_data\topwear\positive\0a2764c567f2ff32ef8829825874606c.jpg
embeddings_train_data\topwear\anchor\0b9e3a1286a9604c6b83441efaf8b431.jpg,embeddings_train_data\topwear\positive\de766c8525f1e405ad7dbae9fd1ba017.jpg,embeddings_train_data\topwear\positive\160f72f24051749b04ff42f598c677ab.jpg
embeddings_train_data\topwear\anchor\0bbf2655ecf5bfbc78cf0052684e6c14.jpg,embeddings_train_data\topwear\positive\3708aa311b71b363b543de1ea15254e8.jpg,embeddings_train_data\topwear\positive\a75e4ce2f7c2fd8b41f8bdbdbad20776.jpg
embeddings_train_data\topwear\anchor\0bbf2655ecf5bfbc78cf0052684e6c14.jpg,embeddings_train_data\topwear\positive\0072b7a4fd8df6a708fa731d488c2895.jpg,embeddings_train_data\topwear\positive\7294e661fe0ecccc70e4212edd66cfc6.jpg
embeddings_train_data\topwear\anchor\0bbf2655ecf5bfbc78cf0052684e6c14.jpg,embeddings_train_data\topwear\positive\e855d4cb7c27838e32aa3814d28e6db7.jpg,embeddings_train_data\topwear\positive\fcffd20f15d2a5e2534eccf29db25eae.jpg
embeddings_train_data\topwear\anchor\1279117949918e8154f8608a5799eb81.jpg,embeddings_train_data\topwear\positive\c0822b5a9c2830d28bd69f6979eb1f06.jpg,embeddings_train_data\topwear\positive\598e8f96d4ea9f8ee4b57f726fde09ae.jpg
embeddings_train_data\topwear\anchor\12f18dab3284d4e45391051df7c02b70.jpg,embeddings_train_data\topwear\positive\712591aa313c7d92af1b5905bced1a2d.jpg,embeddings_train_data\topwear\positive\9910d6f862c74753ec720b964df38823.jpg
embeddings_train_data\topwear\anchor\15149249caa2597a154aaa2f554d8339.jpg,embeddings_train_data\topwear\positive\05cc80cdbc3b26ef3d9fc86b8e816e15.jpg,embeddings_train_data\topwear\positive\eab9bf33dd6c535c232e350835b27d56.jpg
embeddings_train_data\topwear\anchor\160fe6a26bbd89f5e9a3661b70749d85.jpg,embeddings_train_data\topwear\positive\17bdc185024700f4ea3fbf4c37552bb5.jpg,embeddings_train_data\topwear\positive\f05d3678b604640bc3c217f5f544bf2b.jpg
embeddings_train_data\topwear\anchor\160fe6a26bbd89f5e9a3661b70749d85.jpg,embeddings_train_data\topwear\positive\964a749c63d7fd4aac06c65c261c8271.jpg,embeddings_train_data\topwear\positive\a54d5f684863db50d231f0009506dbfa.jpg
embeddings_train_data\topwear\anchor\160fe6a26bbd89f5e9a3661b70749d85.jpg,embeddings_train_data\topwear\positive\4274b9485f7b3f1541cfac05ec9639d3.jpg,embeddings_train_data\topwear\positive\2d51ba2e51177d48d0532e1bbf302ad5.jpg
embeddings_train_data\topwear\anchor\160fe6a26bbd89f5e9a3661b70749d85.jpg,embeddings_train_data\topwear\positive\3bb39713b76238a0def16be137852f5f.jpg,embeddings_train_data\topwear\positive\ae47da4e0ec22373d5f97a7be2361ed7.jpg
embeddings_train_data\topwear\anchor\18de3e4176198335279f5ec43c4f8b5c.jpg,embeddings_train_data\topwear\positive\72b71ed9e8e72899d018e30789d7f484.jpg,embeddings_train_data\topwear\positive\8b6df9d64ecaa0a15fe148b9a017834c.jpg
embeddings_train_data\topwear\anchor\1fe20975c3891b7868b033f27c60f86f.jpg,embeddings_train_data\topwear\positive\d8fc48d804e935c9ea582f2add01f712.jpg,embeddings_train_data\topwear\positive\09d0a02165dc90f3246be77c9adc960f.jpg
embeddings_train_data\topwear\anchor\233774611e05673ce2d1887e6c3fead5.jpg,embeddings_train_data\topwear\positive\1ec450c8f9e163d34e951267d87a5ca1.jpg,embeddings_train_data\topwear\positive\461da97cbbfbc05501be307c9019a583.jpg
embeddings_train_data\topwear\anchor\27316dac87e38885fcf497873b3eea39.jpg,embeddings_train_data\topwear\positive\e8ce9b2de020e40ba2cb784e192e71c6.jpg,embeddings_train_data\topwear\positive\4375a76bd5ead3634a31aec1f1c505d6.jpg
embeddings_train_data\topwear\anchor\28a901ec09dbdb5034b6d8248e9f0a8a.jpg,embeddings_train_data\topwear\positive\8d24ed0b5189b22146e29069306b928d.jpg,embeddings_train_data\topwear\positive\d25465616afbc708e472c654cf2af055.jpg
embeddings_train_data\topwear\anchor\2d59192f28d648f1f0eb6c22185f3d86.jpg,embeddings_train_data\topwear\positive\dd3109c29522b12cb2c67717616dbd9d.jpg,embeddings_train_data\topwear\positive\11c5935998ff546fea55cdea2cb8c740.jpg
embeddings_train_data\topwear\anchor\2d59192f28d648f1f0eb6c22185f3d86.jpg,embeddings_train_data\topwear\positive\b36fd592cf94f8f1b06c32f743a72099.jpg,embeddings_train_data\topwear\positive\6df277183ae7e7d4bd840744588b69aa.jpg
embeddings_train_data\topwear\anchor\2d59192f28d648f1f0eb6c22185f3d86.jpg,embeddings_train_data\topwear\positive\11187f371d89d45546ab98ca4db4f350.jpg,embeddings_train_data\topwear\positive\9bb986d3bd88843e6ab38a6d3d8c6751.jpg
embeddings_train_data\topwear\anchor\2d702d94849b837e43f74e9a1acd3c55.jpg,embeddings_train_data\topwear\positive\a90484bb106cac886cf261597bd5b96b.jpg,embeddings_train_data\topwear\positive\e628dda1e5c620c54798ccd5815a4121.jpg
embeddings_train_data\topwear\anchor\348c0c2dcd3ed5c4c45e6811db6859f1.jpg,embeddings_train_data\topwear\positive\0dd6c282ebbcaae230e7470d49911e44.jpg,embeddings_train_data\topwear\positive\3b5ff0d10bc1bb766146b96857a6fb39.jpg
embeddings_train_data\topwear\anchor\34c9d35a63c26c717ca5c14caa54835e.jpg,embeddings_train_data\topwear\positive\5c75af96c2eeec6163cd1df82cd68913.jpg,embeddings_train_data\topwear\positive\a2abe51a5e7bc1514b7d1d7f944764db.jpg
embeddings_train_data\topwear\anchor\3adcc0e012d47664cf9354fed90b8b4e.jpg,embeddings_train_data\topwear\positive\efe40541e32255dd28a1a5820a382632.jpg,embeddings_train_data\topwear\positive\e3189352feac272d652e8ef7ac295b6c.jpg
embeddings_train_data\topwear\anchor\3f644fab5dad8f8bcbdfa955937d4d1c.jpg,embeddings_train_data\topwear\positive\599b62ffd84876343bedb596436c8132.jpg,embeddings_train_data\topwear\positive\7b618ef2805485beb3ddfbb75a085b60.jpg
embeddings_train_data\topwear\anchor\3f644fab5dad8f8bcbdfa955937d4d1c.jpg,embeddings_train_data\topwear\positive\571e727d95c3d8848e060ed6dd530d39.jpg,embeddings_train_data\topwear\positive\d7ae34168f188d0e95f18e1bbd169c18.jpg
